Industry,num_postings
" IT Services and IT Consulting",216
" Staffing and Recruiting",144
" Financial Services",95
" Business Consulting and Services",54
" Government Administration",53
" Software Development",48
" Accounting",44
" Internet Publishing",41
" Banking",25
" Retail",24
" Hospitals and Health Care",22
" Higher Education",15
" Insurance",14
" Civil Engineering",13
" Marketing Services",12
